,"URL describes","URL type","Modification date",URL
"LSKB, Life Science Knowledge Bank/URL 1","LSKB, Life Science Knowledge Bank",Related,"9 October 2015 23:57:41",http://www.w-fusionus.com
"Lab7/URL 0",Lab7,Homepage,"9 May 2013 21:11:05",http://www.lab7.io
"Lab7/URL 1",Lab7,,"23 May 2013 19:43:39",http://www.lab7.io/blog/
"Lasergene/URL 0",Lasergene,Homepage,"12 January 2015 14:47:17",http://www.dnastar.com/t-products-dnastar-lasergene-core.aspx
"LobSTR/URL 0",LobSTR,Homepage,"3 April 2012 13:18:12",http://jura.wi.mit.edu/erlich/lobSTR/
"LookSeq/URL 0",LookSeq,Homepage,"3 September 2009 14:05:21",http://lookseq.sourceforge.net
"MACS google group/URL 0",MACS,"Mailing list","24 October 2009 15:56:42",http://groups.google.com/group/macs-announcement
"MACS/URL 0",MACS,Homepage,"25 February 2010 15:30:13",http://liulab.dfci.harvard.edu/MACS/
"MAQ/URL 0",MAQ,Homepage,"21 September 2009 09:40:22",http://maq.sourceforge.net/
"MAQGene/URL 0",MAQGene,Homepage,"21 September 2009 11:03:41",http://maqweb.sourceforge.net/
"MAXIMUS/URL 0",MAXIMUS,Homepage,"15 November 2011 17:10:39",http://maximuspipeline.sourceforge.net/main/
"MAYDAY/URL 0",MAYDAY,Homepage,"3 February 2011 15:53:45",http://www-ps.informatik.uni-tuebingen.de/mayday/wp/?p=134
"MEGAN/URL 0",MEGAN,Homepage,"21 September 2009 08:48:11",http://www-ab.informatik.uni-tuebingen.de/software/megan
"METAGENassist/URL 0",METAGENassist,Homepage,"17 August 2012 20:39:22",http://www.metagenassist.ca
"MG-RAST/URL 0",MG-RAST,Homepage,"21 September 2009 08:54:14",http://metagenomics.nmpdr.org/
"MG-RAST/URL 1",MG-RAST,Homepage,"23 October 2013 15:39:53",http://metagenomics.anl.gov
"MG-RAST/URL 2",MG-RAST,Manual,"23 October 2013 16:14:15",ftp://ftp.metagenomics.anl.gov/data/manual/mg-rast-tech-report-current.pdf
"MIP Scaffolder/URL 0","MIP Scaffolder",Homepage,"14 October 2011 10:23:09",http://www.cs.helsinki.fi/u/lmsalmel/mip-scaffolder/
"MIRA/URL 0",MIRA,Homepage,"5 July 2010 18:28:02",http://sourceforge.net/apps/mediawiki/mira-assembler/index.php
"MIRA/URL 1",MIRA,"Mailing list","5 July 2010 18:29:47",http://chevreux.org/mira_mailinglists.html
"MISO/URL 0",MISO,Homepage,"26 January 2012 06:44:39",http://genes.mit.edu/burgelab/miso/docs/#releases
"MMSEQ/URL 0",MMSEQ,Homepage,"25 May 2011 17:59:06",http://bgx.org.uk/software/mmseq.html
"MOM/URL 0",MOM,Homepage,"3 September 2009 14:12:49",http://mom.csbc.vcu.edu
"MOSAIK/URL 0",MOSAIK,Homepage,"21 September 2009 09:39:42",http://bioinformatics.bc.edu/marthlab/Mosaik
"MPscan/URL 0",MPscan,"Analysis server","21 July 2011 17:02:28",http://www.atgc-montpellier.fr/mpscan/
"MPscan/URL 1",MPscan,Homepage,"21 July 2011 16:40:06",http://www.lirmm.fr/%7Erivals/
"MPscan/URL 2",MPscan,"Publication full text","5 September 2011 11:48:44",http://www.lirmm.fr/%7Erivals/PUBLI/FILES/Rivals-etal-mpscan-LNCS-WABI-09.pdf
"MTR/URL 0",MTR,"Source code","7 December 2010 16:32:58",http://cs.ru.nl/%7Egori/software/MTR.tar.gz
"MU2A/URL 0",MU2A,"Source code","3 January 2011 19:09:32",http://code.google.com/p/mu2a/
"MU2A/URL 1",MU2A,"Analysis server","3 January 2011 19:09:53",http://krauthammerlab.med.yale.edu/mu2a
"MUMmer/URL 0",MUMmer,Homepage,"21 September 2009 09:41:50",http://www.tigr.org/software/mummer
"MUMmer/URL 1",MUMmer,"Source code","5 January 2010 14:24:22",http://mummer.sourceforge.net/
"MUMmer/URL 2",MUMmer,Manual,"18 January 2010 11:05:04",http://mummer.sourceforge.net/manual
"MUMmer/URL 3",MUMmer,HOWTO,"20 January 2010 18:01:43",http://mummer.sourceforge.net/examples/
"MUMmerGPU/URL 0",MUMmerGPU,Homepage,"15 September 2011 07:02:58",http://sourceforge.net/apps/mediawiki/mummergpu/index.php?title=MUMmerGPU
"MagicViewer/URL 0",MagicViewer,Homepage,"3 January 2010 02:59:39",http://bioinformatics.zj.cn/magicviewer/index.php
"MapDamage/URL 0",MapDamage,Homepage,"18 May 2013 21:07:27",http://geogenetics.ku.dk/publications/mapdamage2.0/
"MapDamage/URL 1",MapDamage,"Source code","30 May 2012 08:31:42",https://github.com/ginolhac/mapDamage
"MapDamage/URL 2",MapDamage,Homepage,"18 May 2013 21:01:15",http://ginolhac.github.io/mapDamage/
"MapNext/URL 0",MapNext,Manual,"21 September 2009 08:09:51",http://evolution.sysu.edu.cn/software/manual_mapnext.pdf
"MapNext/URL 1",MapNext,Homepage,"21 September 2009 08:10:20",http://evolution.sysu.edu.cn/english/software/mapnext.htm
"MapSplice/URL 0",MapSplice,Homepage,"30 August 2010 02:18:30",http://www.netlab.uky.edu/p/bioinfo/MapSplice
"MapView/URL 0",MapView,Homepage,"21 September 2009 08:08:17",http://evolution.sysu.edu.cn/mapview/
"Mapsembler/URL 0",Mapsembler,Homepage,"6 April 2011 16:08:59",http://alcovna.genouest.org/mapsembler/
"Mapsembler/URL 1",Mapsembler,"Mailing list","6 April 2011 16:11:39",https://listes.irisa.fr/sympa/subscribe/mapsembler
"Mason/URL 0",Mason,Homepage,"18 January 2011 18:09:22",http://seqan.de/projects/mason.html
"Mauve/URL 0",Mauve,Homepage,"24 March 2015 11:20:58",http://darlinglab.org/mauve
"MeV/URL 0",MeV,"Source code","27 October 2011 08:41:42",http://mev-tm4.sourceforge.net/
"MeV/URL 1",MeV,Homepage,"27 October 2011 08:13:08",http://www.tm4.org/mev/?q=about
"Meerkat/URL 0",Meerkat,Homepage,"17 June 2013 08:03:19",http://compbio.med.harvard.edu/Meerkat/
"Megraft/URL 0",Megraft,Homepage,"25 July 2012 08:31:05",http://microbiology.se/software/megraft
"Megraft/URL 1",Megraft,Binaries,"25 July 2012 08:31:42",http://microbiology.se/sw/Megraft_1.0.1.tar.gz
"Megraft/URL 2",Megraft,Manual,"25 July 2012 08:32:12",http://microbiology.se/publ/megraft_user_guide.pdf
"Meraculous/URL 0",Meraculous,"Source code","13 September 2011 19:05:06",ftp://ftp.jgi-psf.org/pub/JGI_data/meraculous/
"MetMap/URL 0",MetMap,"Source code","25 January 2011 15:43:36",http://www.cs.berkeley.edu/meromit/MetMap.html
"MetaSim/URL 0",MetaSim,Homepage,"17 September 2009 17:55:04",http://www-ab.informatik.uni-tuebingen.de/software/metasim
"Metagenome@Kin/URL 0",Metagenome@Kin,,"10 October 2015 00:53:59",http://www.w-fusionus.com/#%21metagenomekin/c1khf
"Metaxa/URL 0",Metaxa,Homepage,"7 June 2011 10:06:16",http://microbiology.se/software/metaxa/
"Metaxa/URL 1",Metaxa,Manual,"7 June 2011 10:04:55",http://microbiology.se/publ/Users_guide.pdf
"Metaxa/URL 2",Metaxa,Binaries,"7 June 2011 10:05:33",http://microbiology.se/sw/Metaxa.tar.gz
"MethMarker/URL 0",MethMarker,Homepage,"11 April 2012 13:30:20",http://methmarker.mpi-inf.mpg.de/
"Methpipe/URL 0",Methpipe,Homepage,"15 May 2014 05:09:48",http://smithlabresearch.org/software/methpipe/
"Methpipe/URL 2",Methpipe,"Mailing list","11 September 2013 19:41:42",http://groups.google.com/group/methpipe
"Methpipe/URL 3",Methpipe,Manual,"15 May 2014 05:10:57",http://smithlabresearch.org/manuals/methpipe-manual.pdf
"Methpipe/URL 4","A reference methylome database generated using MethPipe tools",Related,"11 September 2013 20:17:17",http://smithlab.usc.edu/methbase/
"Methpipe/URL 5",Methpipe,Related,"15 May 2014 05:11:28",http://smithlabresearch.org/software/methbase/
"Methpipe/URL 6",Methpipe,"Source code","15 May 2014 05:12:40",https://github.com/smithlabcode/methpipe
"MethylCoder/URL 0",MethylCoder,,"9 June 2010 09:20:33",http://github.com/brentp/methylcode
"MiRCat/URL 0",MiRCat,Homepage,"14 February 2012 12:33:06",http://srna-workbench.cmp.uea.ac.uk
"MiRCat/URL 1",MiRCat,Manual,"14 February 2012 12:34:18",http://srna-workbench.cmp.uea.ac.uk/tools/mircat/
"MiRDeep/URL 0",MiRDeep,Description,"15 March 2010 22:09:44",http://www.mdc-berlin.eu/en/research/research_teams/systems_biology_of_gene_regulatory_elements/projects/miRDeep/index.html
"MiRNAkey/URL 0",MiRNAkey,Homepage,"26 October 2010 18:36:07",http://ibis.tau.ac.il/miRNAkey
"MiRProf/URL 0",MiRProf,Homepage,"14 February 2012 12:45:03",http://srna-workbench.cmp.uea.ac.uk
"MiRProf/URL 1",MiRProf,Manual,"14 February 2012 12:45:55",http://srna-workbench.cmp.uea.ac.uk/tools/mirprof/
"MiRanalyzer/URL 0",MiRanalyzer,Homepage,"15 September 2011 15:26:50",http://bioinfo2.ugr.es/miRanalyzer/miRanalyzer.php
"MiRanalyzer/URL 1",MiRanalyzer,Manual,"18 September 2011 11:08:36",http://bioinfo2.ugr.es/miRanalyzer/miRanalyzer_tutorial.html
"MiRspring/URL 0",MiRspring,Homepage,"29 May 2013 06:17:57",http://mirspring.victorchang.edu.au
"MicroRazerS/URL 0",MicroRazerS,Homepage,"17 September 2009 13:50:51",http://www.seqan.de/projects/microrazers.html
"Microsoft Biology Foundation/URL 0","Microsoft Biology Foundation",Homepage,"13 October 2010 20:06:06",http://research.microsoft.com/en-us/projects/bio/mbf.aspx
"Minia/URL 0",Minia,Homepage,"19 November 2012 22:48:43",http://minia.genouest.org
"MirTools/URL 0",MirTools,,"4 January 2010 07:45:35",http://222.73.178.238/mirtools/start.php
"MirTrios/URL 0",MirTrios,Homepage,"1 April 2015 06:28:56",http://centre.bioinformatics.zj.cn/mirTrios/
"MoDIL/URL 0",MoDIL,Homepage,"21 September 2009 11:01:16",http://compbio.cs.toronto.edu/modil/
"MochiView/URL 0",MochiView,Homepage,"11 November 2009 19:13:31",http://johnsonlab.ucsf.edu/sj/mochiview-start/
"MotifLab/URL 0",MotifLab,Homepage,"8 January 2015 14:47:57",http://www.motiflab.org
"MrBayes/URL 0",MrBayes,Homepage,"23 February 2014 01:35:49",http://mrbayes.sourceforge.net/
"MrBayes/URL 1",MrBayes,"Publication full text","23 February 2014 01:36:38",http://bioinformatics.oxfordjournals.org/content/19/12/1572.long
"MrCaNaVaR/URL 0",MrCaNaVaR,"Source code","18 April 2011 06:36:57",http://mrcanavar.sourceforge.net/
"MrCaNaVaR/URL 1",MrCaNaVaR,Related,"18 April 2011 06:37:31",http://seqanswers.com/wiki/Mrfast
"MrCaNaVaR/URL 2",MrCaNaVaR,Related,"18 April 2011 06:39:11",http://seqanswers.com/wiki/MrsFAST
"MrFAST/URL 0",MrFAST,"Source code","17 April 2011 02:21:58",http://mrfast.sourceforge.net
"MrFAST/URL 1",MrFAST,Related,"18 April 2011 06:39:39",http://seqanswers.com/wiki/MrCaNaVaR
"Mrfast/URL 0",MrFAST,Homepage,"1 September 2009 18:18:38",http://mrfast.sourceforge.net/
"Mrfast/URL 1",MrFAST,Related,"2 November 2010 20:51:51",http://seqanswers.com/wiki/MrsFAST
"Mrfast/URL 2",MrFAST,Related,"2 November 2010 20:52:19",http://seqanswers.com/wiki/NovelSeq
"Mrfast/URL 3",MrFAST,Related,"2 November 2010 20:53:06",http://seqanswers.com/wiki/VariationHunter
"MrsFAST/URL 0","""mrsFAST: a cache-oblivious algorithm for short-read mapping"", Hach F, Hormozdiari F, Alkan C, Hormozdiari F, Birol I, Eichler EE, Sahinalp SC","Publication full text","2 November 2010 20:35:08",http://www.nature.com/nmeth/journal/v7/n8/full/nmeth0810-576.html
"MrsFAST/URL 1",MrsFAST,"Source code","2 November 2010 20:36:05",http://mrsfast.sourceforge.net/
"MrsFAST/URL 3",MrFAST,Related,"18 April 2011 06:38:34",http://seqanswers.com/wiki/mrsFAST
"MrsFAST/URL 4",MrsFAST,Related,"2 November 2010 20:49:11",http://seqanswers.com/wiki/Mrfast
"MrsFAST/URL 5",MrsFAST,Related,"2 November 2010 20:45:34",http://seqanswers.com/wiki/NovelSeq
"MrsFAST/URL 6",MrsFAST,Related,"2 November 2010 20:46:11",http://seqanswers.com/wiki/VariationHunter
"MuMRescueLite/URL 0",MuMRescueLite,Homepage,"2 September 2009 19:30:21",http://genome.gsc.riken.jp/osc/english/software/
"MuSICA 2/URL 0","MuSICA 2","Source code","13 May 2010 18:51:05",http://musica.gi.k.u-tokyo.ac.jp/
"MuTect/URL 0",MuTect,Homepage,"14 February 2013 02:15:37",http://www.broadinstitute.org/cancer/cga/mutect
"MultiPSQ/URL 0",MultiPSQ,"Source code","18 May 2015 23:09:16",https://sourceforge.net/projects/multipsq/
"Mutascope/URL 0",Mutascope,"Source code","19 April 2013 19:39:30",http://sourceforge.net/projects/mutascope/?source=directory
"Mutascope/URL 1",Mutascope,Manual,"19 April 2013 19:40:04",http://sourceforge.net/projects/mutascope/files/Manual.pdf/download
"Myrialign/URL 0",Myrialign,Homepage,"21 September 2009 08:42:38",http://savannah.nongnu.org/projects/myrialign
"Myrna/URL 1",Myrna,Homepage,"17 September 2010 14:58:52",http://bowtie-bio.sourceforge.net/myrna/index.shtml
"Mzip/URL 0",Mzip,"Source code","20 January 2011 15:16:35",http://www.ebi.ac.uk/%7Emarkus/mzip/
"NCBI Genome Workbench/URL 0","NCBI Genome Workbench",Homepage,"23 February 2014 01:12:47",http://www.ncbi.nlm.nih.gov/tools/gbench/
"NGS-DesignTools/URL 0",NGS-DesignTools,Homepage,"13 July 2010 15:08:07",http://omics.ucsd.edu:8080/
"NGSUtils/URL 0",NGSUtils,Homepage,"25 July 2012 22:06:32",http://ngsutils.org
"NGSView/URL 0",NGSView,"Source code","25 October 2009 02:15:37",http://ngsview.sourceforge.net
"NOISeq/URL 0",NOISeq,Homepage,"21 October 2011 06:28:29",http://bioinfo.cipf.es/noiseq/doku.php?id=start
"NPS/URL 0",NPS,Homepage,"20 September 2011 13:10:39",http://liulab.dfci.harvard.edu/NPS/
"NarrowPeaks/URL 0",NarrowPeaks,"Source code","26 October 2013 11:03:42",http://bioconductor.org/packages/release/bioc/html/NarrowPeaks.html
"Nephele/URL 0",Nephele,Homepage,"9 February 2016 19:05:58",https://nephele.niaid.nih.gov
"Nesoni/URL 0",Nesoni,Homepage,"15 October 2009 11:42:04",http://www.bioinformatics.net.au/software.nesoni.shtml
"Newbler/URL 0",Newbler,Description,"21 December 2011 16:10:51",http://my454.com/products/analysis-software/index.asp
"Nexalign/URL 0",Nexalign,"Source code","6 January 2010 15:43:25",http://genome.gsc.riken.jp/osc/english/dataresource/
"NextGen Utility Scripts/URL 0","NextGen Utility Scripts",Homepage,"8 January 2010 11:43:57",http://nebc.nox.ac.uk/tools/bioinformatics-docs/high-throughput-seq/nextgen-scripts
"Ngs backbone/URL 0","Ngs backbone",Homepage,"3 May 2010 15:21:23",http://bioinf.comav.upv.es/ngs_backbone/index.html
"Ngs-pipeline/URL 0",Ngs-pipeline,Homepage,"6 January 2012 10:27:26",http://code.google.com/p/ngs-pipeline/
"Ngs.plot/URL 0",Ngs.plot,Homepage,"16 April 2014 15:32:01",https://code.google.com/p/ngsplot/
"Ngs.plot/URL 1",Ngs.plot,"Publication full text","16 April 2014 15:34:39",http://www.biomedcentral.com/1471-2164/15/284
"NovelSeq/URL 0",NovelSeq,Homepage,"30 July 2010 19:25:00",http://compbio.cs.sfu.ca/strvar.htm
"NovelSeq/URL 1",NovelSeq,Related,"2 November 2010 20:56:27",http://seqanswers.com/wiki/mrsFAST
"NovelSeq/URL 2",NovelSeq,Related,"2 November 2010 20:56:57",http://seqanswers.com/wiki/mrFAST
"NovelSeq/URL 3",NovelSeq,Related,"2 November 2010 20:57:15",http://seqanswers.com/wiki/VariationHunter
"Novocraft/URL 0",Novocraft,Homepage,"19 August 2009 07:50:07",http://www.novocraft.com/index.html
"NucleR/URL 0",NucleR,Homepage,"30 June 2011 15:53:25",http://mmb.pcb.ub.es/nucleR/
"ODIN/URL 0",ODIN,Homepage,"13 November 2014 12:16:30",http://www.regulatory-genomics.org/odin-2/basic-introduction/
"ODIN/URL 1",ODIN,Related,"13 November 2014 12:16:59",http://costalab.org/wp/publications-2/odin/
"ODIN/URL 2",ODIN,Homepage,"13 November 2014 12:17:30",http://costalab.org/wp/publications-2/odin/
"OLego/URL 0",OLego,Homepage,"19 April 2013 01:44:21",http://zhanglab.c2b2.columbia.edu/index.php/OLego
"OLego/URL 1",OLego,Manual,"9 December 2012 17:48:02",http://zhanglab.c2b2.columbia.edu/index.php/OLego_Documentation
"OLego/URL 2",OLego,"Source code","23 May 2012 02:28:50",http://sourceforge.net/projects/ngs-olego/files/
"Oases/URL 0",Oases,"Mailing list","16 February 2010 02:47:15",http://listserver.ebi.ac.uk/mailman/listinfo/oases-users
"Oases/URL 1",Oases,Homepage,"6 May 2010 07:45:57",http://www.ebi.ac.uk/%7Ezerbino/oases/
"Oases/URL 2",Oases,"Source code","6 May 2010 07:46:29",http://github.com/dzerbino/oases
"Oasis/URL 0",Oasis,Homepage,"2 March 2015 09:55:39",http://oasis.dzne.de
"Omixon Variant Toolkit/URL 0","Omixon Target Suite",Homepage,"20 September 2012 08:00:19",http://www.omixon.com/omixon/aboutproducts.htm
"Omixon Variant Toolkit/URL 1","Omixon Variant Toolkit",Homepage,"22 February 2012 23:44:10",http://www.omixon.com
"Omixon Variant Toolkit/URL 2","Omixon Target Suite",,"20 September 2012 08:01:41",http://www.omixon.com/omixon/aboutproducts.htm
"Omixon Variant Toolkit/URL 3","Omixon Variant Toolkit",,"20 September 2012 08:01:49",http://www.omixon.com/omixon/targetdownload.htm
"Optimus Primer/URL 0","Optimus Primer",Homepage,"8 July 2010 14:42:20",http://op.pgx.ca
"PALMA/URL 0",PALMA,Homepage,"21 September 2009 08:17:54",http://www.fml.tuebingen.mpg.de/raetsch/suppl/palma
"PALMapper/URL 0",PALMapper,Homepage,"11 June 2010 10:41:57",http://www.fml.tuebingen.mpg.de/raetsch/suppl/palmapper
"PARalyzer/URL 0",PARalyzer,Homepage,"14 September 2011 15:49:04",http://www.genome.duke.edu/labs/ohler/research/PARalyzer/
"PASH/URL 0",PASH,Homepage,"30 November 2010 16:08:45",http://www.brl.bcm.tmc.edu/pash/pashDownload.rhtml
"PASS/URL 0",PASS,Homepage,"21 September 2009 09:45:15",http://pass.cribi.unipd.it
"PE-Assembler/URL 0",PE-Assembler,Homepage,"3 January 2011 18:58:15",http://www.comp.nus.edu.sg/%7Ebioinfo/peasm/
"PECAN/URL 0",PECAN,Homepage,"24 January 2013 20:51:17",https://github.com/benedictpaten/pecan
"PECAN/URL 1",PECAN,Binaries,"24 January 2013 20:50:26",https://github.com/benedictpaten/pecan
"PEMer/URL 0",PEMer,Homepage,"21 September 2009 08:28:14",http://sv.gersteinlab.org/pemer/
"PERalign/URL 0",PERalign,Homepage,"20 September 2011 12:36:47",http://www.netlab.uky.edu/p/bioinfo/mapPER
"PICS/URL 0",PICS,Homepage,"13 July 2010 14:40:11",http://www.bioconductor.org/packages/2.6/bioc/html/PICS.html
"PIQA/URL 0",PIQA,Homepage,"3 September 2009 18:09:25",http://bioinfo.uh.edu/PIQA
"PRICE/URL 0",PRICE,Homepage,"15 September 2011 20:23:06",http://derisilab.ucsf.edu/software/price/index.html
"PRINSEQ/URL 0",PRINSEQ,Homepage,"20 October 2011 17:11:00",http://prinseq.sourceforge.net/
"PRINSEQ/URL 1",PRINSEQ,"Analysis server","20 October 2011 17:20:57",http://edwards.sdsu.edu/prinseq
"PacBio conversion tools/URL 0","PacBio conversion tools",Homepage,"10 September 2010 19:00:36",http://www.pacbiodevnet.com/ConversionTools
"PanGEA/URL 0",PanGEA,Homepage,"28 October 2009 04:44:13",http://www.kofler.or.at/bioinformatics/PanGEA
"Partek Genomics Suite/URL 0","Partek Genomics Suite",Homepage,"12 August 2010 14:06:02",http://www.partek.com
"Partek Genomics Suite/URL 1","Partek Genomics Suite",Homepage,"17 August 2010 19:43:15",http://www.partek.com
"PatMaN/URL 0",PatMaN,Homepage,"21 September 2009 08:21:56",http://bioinf.eva.mpg.de/patman/
"Patchwork/URL 1",Patchwork,Homepage,"3 May 2013 13:29:11",http://patchwork.r-forge.r-project.org/
"PeakAnalyzer/URL 0",PeakAnalyzer,,"29 November 2012 10:52:12",http://www.bioinformatics.org/peakanalyzer/wiki/
"PeakRanger/URL 0",PeakRanger,Homepage,"27 October 2011 20:48:12",http://ranger.sourceforge.net
"PeakSeq/URL 0",PeakSeq,Homepage,"30 December 2009 16:43:31",http://www.gersteinlab.org/proj/PeakSeq/
"PeakTrace/URL 0",PeakTrace,Homepage,"24 April 2014 01:32:37",http://www.peaktrace.com
"PeakTrace/URL 1",PeakTrace,"White Paper","24 April 2014 01:42:36",http://www.nucleics.com/peaktrace/PeakTrace%20Whitepaper.pdf
"PeakTrace/URL 2",PeakTrace,"White Paper","24 April 2014 01:42:55",http://www.nucleics.com/peaktrace/PeakTrace%20Whitepaper.pdf
"PeakTrace/URL 3",PeakTrace,"White Paper","24 April 2014 01:43:06",http://www.nucleics.com/peaktrace/PeakTrace%20Whitepaper.pdf
"PerM/URL 0",PerM,Homepage,"2 September 2009 19:20:40",http://code.google.com/p/perm/
"Phred Phrap Consed Cross match/URL 0","Phred Phrap Consed Cross match",Homepage,"21 September 2009 09:28:06",http://www.phrap.org/phredphrapconsed.html
"Phred/URL 0",Phred,Homepage,"6 January 2010 15:29:14",http://www.phrap.org/phredphrapconsed.html
"Phred/URL 1",Phred,Manual,"6 January 2010 15:29:52",http://www.phrap.org/phredphrap/phred.html
"Phred/URL 2",Phred,Description,"6 January 2010 15:31:54",http://www.phrap.org/phredphrap/phred_quality_value_3700.html
"Phymm/URL 0",Phymm,"Source code","5 January 2010 21:00:50",http://www.cbcb.umd.edu/software/phymm/
"PiCall/URL 0",PiCall,Homepage,"29 September 2011 18:32:10",https://sites.google.com/site/vibansal/software/picall
"PileLine/URL 0",PileLine,Homepage,"26 January 2011 21:27:43",http://sing.ei.uvigo.es/pileline/index.php/Main_Page
"Pileup/URL 0",Pileup,Description,"4 August 2011 09:13:03",http://samtools.sourceforge.net/pileup.shtml
"Pindel/URL 0",Pindel,Homepage,"6 November 2014 19:41:01",http://gmt.genome.wustl.edu/packages/pindel/
"Pindel/URL 1",Pindel,Homepage,"11 March 2011 22:58:55",http://trac.nbic.nl/pindel
"Pipeline Pilot/URL 0","Pipeline Pilot",Homepage,"1 May 2012 00:42:23",http://accelrys.com/products/pipeline-pilot/component-collections.html
"PoPoolation/URL 0",PoPoolation,"Source code","4 February 2011 14:39:53",http://code.google.com/p/popoolation/
"PoPoolation2/URL 0",PoPoolation2,"Source code","24 November 2011 12:13:31",http://code.google.com/p/popoolation2/
"PoPoolation2/URL 1",PoPoolation2,"Publication full text","24 November 2011 12:14:16",http://bioinformatics.oxfordjournals.org/content/early/2011/10/23/bioinformatics.btr589.short?rss=1
"PoissonSeq/URL 0",PoissonSeq,"Source code","21 October 2011 06:34:05",http://cran.r-project.org/web/packages/PoissonSeq/index.html
"PolyBayesShort/URL 0",PolyBayesShort,Homepage,"9 June 2010 10:39:13",http://bioinformatics.bc.edu/marthlab/PbShort
"PoolHap/URL 0",PoolHap,Homepage,"28 January 2011 19:59:25",http://arabidopsis.gmi.oeaw.ac.at/quan/poolhap/
"Post Assembly Genome Improvement Toolkit/URL 0","Post Assembly Genome Improvement Toolkit",Homepage,"23 February 2014 01:58:31",http://www.sanger.ac.uk/resources/software/pagit/
"Post Assembly Genome Improvement Toolkit/URL 1","Post Assembly Genome Improvement Toolkit","Publication full text","23 February 2014 01:59:18",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3648784/
"ProbHD/URL 0",ProbHD,"Source code","21 September 2011 08:45:18",http://www.mcb.mcgill.ca/%7Eblanchem/reseq/
"ProbeMatch/URL 0",ProbeMatch,Homepage,"3 September 2009 18:26:28",http://www.cs.wisc.edu/%7Ejignesh/probematch/
"Promisec Endpoint Manager/URL 0","Promisec Endpoint Manager",Homepage,"7 October 2015 09:28:40",https://www.promisec.com/products/#pem
"Pybedtools/URL 0",Pybedtools,"Source code","30 September 2011 19:00:00",https://github.com/daler/pybedtools
"Pybedtools/URL 1",Pybedtools,Manual,"30 September 2011 19:00:30",http://packages.python.org/pybedtools/
"PyroBayes/URL 0",PyroBayes,Homepage,"9 June 2010 10:00:32",http://bioinformatics.bc.edu/marthlab/PyroBayes
"PyroMap/URL 0",PyroMap,Homepage,"25 September 2009 09:24:02",http://hivdb.stanford.edu/pages/resources.html
"PyroNoise/URL 0",PyroNoise,Homepage,"12 September 2009 00:59:02",http://sourceforge.net/projects/pyronoise/
"PyroNoise/URL 1",PyroNoise,"Source code","20 May 2011 02:43:20",http://code.google.com/p/ampliconnoise/
"QCALL/URL 0",QCALL,"Source code","2 November 2010 20:38:00",ftp://ftp.sanger.ac.uk/pub/rd/QCALL
"QRidge/URL 0",QRidge,Homepage,"5 February 2015 11:14:42",http://zhangroup.aporc.org/QRidgeWalker
"QSRA/URL 0",QSRA,Homepage,"21 September 2009 09:50:38",http://qsra.cgrb.oregonstate.edu/
"QSeq/URL 0",QSeq,Homepage,"12 January 2015 14:32:46",http://www.dnastar.com/t-nextgen-qseq.aspx
"QUAST/URL 0",QUAST,Homepage,"22 December 2012 19:39:04",http://bioinf.spbau.ru/quast
"QUAST/URL 1",QUAST,"Source code","4 February 2013 01:42:02",http://sourceforge.net/projects/quast/files/
"Qpalma/URL 0",Qpalma,Homepage,"21 September 2009 09:49:28",http://www.fml.mpg.de/raetsch/projects/qpalma
"QuEST/URL 0",QuEST,Homepage,"21 September 2009 11:09:34",http://mendel.stanford.edu/sidowlab/downloads/quest/
"QuadGT/URL 0",QuadGT,Homepage,"20 February 2013 19:04:11",http://www.iro.umontreal.ca/%7Ecsuros/quadgt/
"QuadGT/URL 1","QuadGT User Guide",,"20 February 2013 20:17:44",http://www.iro.umontreal.ca/%7Ecsuros/quadgt/quadgt-usage.pdf
"Quake/URL 0",Quake,Homepage,"7 December 2010 16:39:18",http://www.cbcb.umd.edu/software/quake
"QualiMap/URL 0",QualiMap,Homepage,"14 June 2013 08:42:59",http://qualimap.bioinfo.cipf.es/
"Quip/URL 0",Quip,Homepage,"20 January 2013 04:23:17",http://homes.cs.washington.edu/%7Edcjones/quip/
"R2R/URL 0",R2R,Homepage,"9 November 2010 18:21:00",http://milne.ruc.dk/R2R/
"R453Plus1Toolbox/URL 0",R453Plus1Toolbox,"Source code","14 June 2011 11:52:03",http://www.bioconductor.org/packages/2.8/bioc/html/R453Plus1Toolbox.html
"RACA/URL 0",RACA,Homepage,"12 January 2013 15:31:30",http://bioen-compbio.bioen.illinois.edu/RACA/
"RAPSearch/URL 0",RAPSearch,Homepage,"20 May 2011 04:02:29",http://omics.informatics.indiana.edu/mg/RAPSearch
"RAPSearch/URL 1",RAPSearch,Homepage,"15 September 2011 12:54:50",http://omics.informatics.indiana.edu/mg/RAPSearch2/
"RAST/URL 0",RAST,Homepage,"23 February 2014 02:11:24",http://rast.nmpdr.org/
"RApiD/URL 0",RApiD,"Source code","14 September 2011 14:21:10",http://guppy.weigelworld.org/weigeldatabases/radMarkers/
"RDP Pyrosequencing Pipeline/URL 0","RDP Pyrosequencing Pipeline",Homepage,"7 January 2010 13:47:49",http://pyro.cme.msu.edu/index.jsp
"RDiff/URL 0",RDiff,Homepage,"2 May 2013 00:31:21",http://cbio.mskcc.org/public/raetschlab/user/drewe/rdiff/
"RDiff/URL 1",RDiff,Homepage,"2 May 2013 00:32:16",http://bioweb.me/rdiff
