,Author,Journal,"Number of citations","Pubmed id","Reference describes",Title,Volume,Year,"Modification date"
20598134,"Qin ZS,Yu J,Shen J,Maher CA,Hu M,Kalyana-Sundaram S,Chinnaiyan AM.
Qin ZS,Chinnaiyan AM.","BMC Bioinformatics",50," 20598134",HPeak,"HPeak: an HMM-based algorithm for defining read-enriched regions in ChIP-Seq data.",11,2010,"8 July 2010 14:39:08"
2059814,"Hosseini P,Tremblay A,Matthews BF,Alkharouf NW.","BMC Res Notes",6," 2059814",TASE,"An efficient annotation and gene-expression derivation tool for Illumina Solexa datasets.",3,2010,"8 July 2010 14:45:31"
20601685,"Wang K,Li M,Hakonarson H","Nucleic Acids Research",697," 20601685",ANNOVAR,"ANNOVAR: Functional annotation of genetic variants from high-throughput sequencing data",,2010,"7 August 2010 02:23:56"
20605925,"Tembe W,Lowey J,Suh E.",Bioinformatics,16," 20605925",G-SQZ,"G-SQZ: Compact Encoding of Genomic Sequence and Quality Data.",,2010,"8 July 2010 14:49:20"
20616017,"Anthony S. Amend,Keith A. Seifert,Robert Samson,and Thomas D. Bruns",PNAS,42," 20616017","CLCbio Genomics Workbench","Indoor fungal composition is geographically patterned and more diverse in temperate zones than in the tropics","vol. 107  no. 31",2010,"30 August 2010 00:43:41"
20622843,"Schatz MC,Langmead B,Salzberg SL","Nature Biotechnology",54," 20622843",Crossbow,"Cloud computing and the DNA data race.",28,2010,"11 August 2011 23:40:07"
20626889,"Li K,Stockwell TB.","BMC Res Notes",12," 20626889",VariantClassifier,"VariantClassifier: A hierarchical variant classifier for annotated genomes.",3,2010,"31 August 2010 14:15:59"
20639544,"Zeitouni B,Boeva V,Janoueix-Lerosey I,Loeillet S,Legoix-né P,Nicolas A,Delattre O,Barillot E.",Bioinformatics,42," 20639544",SVDetect,"SVDetect: a tool to identify genomic structural variations from paired-end and mate-pair sequencing data.",26,2010,"30 July 2010 19:22:06"
20644199,"McKenna AH,Hanna M,Banks E,Sivachenko A,Cibulskis K,Kernytsky A,Garimella K,Altshuler D,Gabriel S,Daly M,Depristo M.","Genome Research","1,267"," 20644199",GATK,"The Genome Analysis Toolkit: A MapReduce framework for analyzing next-generation DNA sequencing data.",,2010,"21 July 2010 12:48:57"
20671025,"Zagordi O,Klein R,Daeumer M,Beerenwinkel N","Nucleic Acids Research",71," 20671025",ShoRAH,"Error correction of next-generation sequencing data and reliable estimation of HIV quasispecies",,2010,"30 July 2010 17:41:48"
20671027,"Srivastava S,Chen L","Nucleic Acids Research",40," 20671027",GPSeq,"A two-parameter generalized Poisson model to improve the analysis of RNA-seq data",,2010,"30 July 2010 17:33:52"
20671709,"Kapranov P,Ozsolak F,Kim SW,Foissac S,Lipson D,Hart C,Roels S,Borel C,Antonarakis SE,Monaghan AP,John B,Milos PM.",Nature,37," 20671709",SeqSolve,"New class of gene-termini-associated human RNAs suggests a novel RNA copying mechanism.",466(7306),2010,"20 October 2011 15:37:12"
20676076,"Hach F,Hormozdiari F,Alkan C,Birol I,Eichler EE,Sahinalp SC","Nature Methods",74," 20676076",MrsFAST,"mrsFAST: a cache-oblivious algorithm for short-read mapping",7(8),2010,"2 November 2010 20:44:52"
20676378,"Rodrigue S,Materna AC,Timberlake SC,Blackburn MC,Malmstrom RR,Alm EJ,Chisholm SW.","PLoS One",53," 20676378",SHE-RA,"Unlocking short read sequencing for metagenomics.",,2010,"6 September 2011 13:10:08"
20693400,"Pitt JN,Rajapakse I,Ferré-D'Amaré AR.","Nucleic Acids Research",3," 20693400",SEWAL,"SEWAL: an open-source platform for next-generation sequence analysis and visualization.",,2010,"22 October 2010 13:28:00"
20693528,"Petrie KL,Joyce GF.","Nucleic Acids Research",3," 20693528","CLCbio Genomics Workbench","Deep sequencing analysis of mutations resulting from the incorporation of dNTP analogs.","Nucleic Acids Research Advance Access published online on August 6, 2010",2010,"11 August 2011 23:45:21"
20698981,"Hardcastle TJ,Kelly KA.","BMC Bioinformatics",130," 20698981",BaySeq,"baySeq: empirical Bayesian methods for identifying differential expression in sequence count data.",,2010,"24 October 2011 07:04:08"
20701754,"Langmead B,Hansen KD,Leek JT.","Genome Biology",61," 20701754",Myrna,"Cloud-scale RNA-sequencing differential expression analysis with Myrna.",,2010,"17 September 2010 15:00:13"
20736340,"Kulakovskiy IV,Boeva VA,Favorov AV,Makeev VJ",Bioinformatics,37," 20736340",ChIPMunk,"Deep and wide digging for binding motifs in ChIP-Seq data",26(20),2010,"1 February 2011 17:20:03"
20739310,"Rizk,Guillaume and Lavenier,Dominique",Bioinformatics,23," 20739310",GASSST,"GASSST: global alignment short sequence search tool.",26,2010,"15 November 2010 13:20:52"
20801911,"Ronen R,Gan I,Modai S,Sukacheov A,Dror G,Halperin E,Shomron N.",Bioinformatics,26," 20801911",MiRNAkey,"miRNAkey: a software for microRNA deep sequencing analysis.",26,2010,"26 October 2010 18:37:33"
20802226,"Wang K,Singh D,Zeng Z,Coleman SJ,Huang Y,Savich GL,He X,Mieczkowski P,Grimm SA,Perou CM,Macleod JN,Chiang DY,Prins JF,Liu J.","Nucleic Acids Research",125," 20802226",MapSplice,"MapSplice: Accurate mapping of RNA-seq reads for splice junction discovery.",,2010,"31 August 2010 13:13:07"
20804791,"Hartmann M,Howes CG,Abarenkov K,Mohn WW,Nilsson RH","Journal of Microbiological Methods",18," 20804791",V-Xtractor,"V-Xtractor: An open-source, high-throughput software tool to identify and extract hypervariable regions of small subunit (16 S/18 S) ribosomal RNA gene sequences",83,2010,"14 October 2010 21:14:14"
20805240,"Rho M,Tang H,Ye Y","Nucleic Acids Research",68," 20805240",FragGeneScan,"FragGeneScan: predicting genes in short and error-prone reads",,2010,"31 August 2010 13:11:05"
20805290,"Medvedev P.,Fiume M.,Dzamba M.,Smith T.,Brudno M.","Genome Research",54," 20805290",CNVer,"Detecting copy number variation with mated short reads.",20,2010,"2 November 2010 01:45:05"
20818383,"Calvo SE,Tucker EJ,Compton AG,Kirby DM,Crawford G,Burtt NP,Rivas M,Guiducci C,Bruno DL,Goldberger OA,Redman MC,Wiltshire E,Wilson CJ,Altshuler D,Gabriel SB,Daly MJ,Thorburn DR,Mootha VK.","Nature Genetics",104," 20818383",Syzygy,"High-throughput, pooled sequencing identifies mutations in NUBPL and FOXRED1 in human complex I deficiency.",,2010,"13 October 2010 19:13:48"
20835245,"Griffith M,Griffith OL,Mwenifumbo J,Goya R,Morrissy AS,Morin RD,Corbett R,Tang MJ,Hou YC,Pugh TJ,Robertson G,Chittaranjan S,Ally A,Asano JK,Chan SY,Li HI,McDonald H,Teague K,Zhao Y,Zeng T,Delaney A,Hirst M,Morin GB,Jones SJ,Tai IT,Marra MA","Nature Methods",82," 20835245",ALEXA-Seq,"Alternative expression analysis by RNA sequencing",7,2010,"4 January 2011 19:16:06"
20856582,"Singer M,Boffelli D,Dhahbi J,Schönhuth A,Schroth GP,Martin DI,Pachter L.","PLoS Computational Biology",6," 20856582",MetMap,"MetMap enables genome-scale Methyltyping for determining methylation states in populations.",6,2010,"25 January 2011 15:45:40"
20861027,"Martin ER,Kinnamon DD,Schmidt MA,Powell EH,Zuchner S,Morris RW",Bioinformatics,16," 20861027",SeqEM,"SeqEM: An adaptive genotype-calling approach for next-generation sequencing studies",,2010,"23 September 2010 18:58:45"
20861030,"Toedling J,Claudio C,Voinnet O,Heard E,Barillot E.",Bioinformatics,6," 20861030",Girafe,"girafe – an R/Bioconductor package for functional exploration of aligned next-generation sequencing reads",,2010,"23 September 2010 19:04:04"
20875133,"Cox MP,Peterson DA,Biggs PJ.","BMC Bioinformatics",120," 20875133",SolexaQA,"SolexaQA: At-a-glance quality assessment of Illumina second-generation sequencing data.",11,2010,"26 October 2010 20:26:52"
20876606,"Abel HJ,Duncavage EJ,Becker N,Armstrong JR,Magrini VJ,Pfeifer JD",Bioinformatics,19," 20876606",SLOPE,"SLOPE: a quick and accurate method for locating non-SNP structural variation from targeted next-generation sequence data",26,2010,"13 September 2011 14:29:14"
20932271,"Salzberg SL,Pertea M.","Genome Biology",8," 20932271",BRCA-diagnostic,"Do-it-yourself genetic testing.",11,2010,"13 October 2010 19:19:38"
20932289,"Homer N,Nelson SF.","Genome Biology",26," 20932289",SRMA,"Improved variant discovery through local re-alignment of short-read next-generation sequencing data using SRMA.",11,2010,"13 October 2010 19:18:31"
20935650,"Robertson G,Schein J,Chiu R,Corbett R,Field M,Jackman SD,Mungall K,Lee 
S,Okada HM,Qian JQ,Griffith M,Raymond A,Thiessen N,Cezard T,Butterfield
YS,Newsome R,Chan SK,She R,Varhol R,Kamoh B,Prabhu AL,Tam A,Zhao Y,Moore
RA,Hirst M,Marra MA,Jones SJ,Hoodless PA,Birol I","Nature Methods",153," 20935650",Trans-ABySS,"De novo assembly and analysis of RNA-seq data",7,2011,"11 September 2011 23:51:39"
20939882,"Gurtowski J,Cancio A,Shah H,George A,Homann R,Sachidanandam R.","BMC Bioinformatics",1," 20939882",Geoseq,"Geoseq: a tool for dissecting deep-sequencing datasets.",11,2010,"15 October 2010 18:25:48"
20950480,"Kumar S,Blaxter ML.","BMC Genomics",106," 20950480","SeqMan NGen","Comparing de novo assemblers for 454 transcriptome data.","2010 Oct 16;11:571.",2010,"26 October 2011 14:58:29"
20958248,"Sébastien Boisvert,François Laviolette,Jacques Corbeil.","Journal of Computational Biology",71," 20958248",Ray,"Ray: simultaneous assembly of reads from a mix of high-throughput sequencing technologies.",17(11),2010,"11 August 2011 23:51:58"
20959381,"Arumugam M,Harrington ED,Foerstner KU,Raes J,Bork P.",Bioinformatics,27," 20959381",SmashCommunity,"SmashCommunity: A metagenomic annotation and analysis tool.",,2010,"25 October 2010 14:01:07"
20961460,,,32," 20961460","LSKB, Life Science Knowledge Bank","Diet-induced obesity in zebrafish shares common pathophysiological pathways with mammalian obesity.",,2010,"10 October 2015 00:24:36"
20964841,"Sboner A,Habegger L,Pflueger D,Terry S,Chen DZ,Rozowsky JS,Tewari AK,Kitabayashi N,Moss BJ,Chee MS,Demichelis F,Rubin MA,Gerstein MB.","Genome Biology",56," 20964841",FusionSeq,"We have developed FusionSeq to identify fusion transcripts from paired-end RNA-sequencing. FusionSeq includes filters to remove spurious candidate fusions with artifacts such as misalignment or random pairing of transcript fragments and it ranks candidates according to several statistics. It also has a module to identify exact sequences at breakpoint junctions. FusionSeq detected known and novel fusions in a specially sequenced calibration data set, including 8 cancers with and without known rearrangements.",11,2010,"11 January 2011 16:29:15"
20966003,"Ivakhno S,Royce T,Cox AJ,Evers DJ,Cheetham RK,Tavaré S.",Bioinformatics,24," 20966003",CNAseg,"CNAseg - a novel framework for identification of copy number changes in cancer from second-generation sequencing data.",,2010,"25 October 2010 13:58:05"
20966006,"Guo Y,Papachristoudis G,Altshuler RC,Gerber GK,Jaakkola TS,Gifford DK,Mahony S.",Bioinformatics,21," 20966006",GPS,"Discovering homotypic binding events at high spatial resolution",26(24),2010,"7 November 2011 18:30:53"
20971986,"Sana ME,Iascone M,Marchetti D,Palatini J,Galasso M,Volinia S.",Bioinformatics,10," 20971986",GAMES,"GAMES identifies and annotates mutations in next-generation sequencing projects.",,2010,"26 October 2010 14:22:48"
20979621,"Anders S,Huber W.","Genome Biology","1,273"," 20979621",DESeq,"Differential expression analysis for sequence count data.",11,2010,"2 November 2010 20:28:24"
20980555,"Albers CA,Lunter G,Macarthur DG,McVean G,Ouwehand WH,Durbin R.","Genome Research",147," 20980555",Dindel,"Dindel: Accurate indel calls from short-read data.",,2010,"2 November 2010 20:25:19"
20980556,"Lunter G,Goodson M.","Genome Research",179," 20980556",Stampy,"Stampy: A statistical algorithm for sensitive and fast mapping of Illumina sequence reads.",,2010,"7 December 2010 19:03:41"
20980557,"Le SQ,Durbin R.","Genome Research",49," 20980557",MARGARITA,"SNP detection and genotyping from low-coverage sequencing data on multiple diploid samples",,2010,"7 December 2010 19:14:25"
21036922,"Pflueger D,Terry S,Sboner A,Habegger L,Esgueva R,Lin PC,Svensson MA,Kitabayashi N,Moss BJ,Macdonald TY,Cao X,Barrette T,Tewari AK,Chee MS,Chinnaiyan AM,Rickman DS,Demichelis F,Gerstein MB,Rubin MA","Genome Research",63," 21036922",FusionSeq,"Discovery of non-ETS gene fusions in human prostate cancer using next-generation RNA sequencing",21(1),2011,"11 January 2011 16:41:08"
21041413,"Vallania FL,Druley TE,Ramos E,Wang J,Borecki I,Province M,Mitra RD.","Genome Research",28," 21041413",SPLINTER,"High-throughput discovery of rare insertions and deletions in large cohorts.",,2010,"3 November 2010 14:56:31"
21057496,"Katz Y,Wang ET,Airoldi EM,Burge CB","Nat Methods.",176," 21057496",MISO,"Analysis and design of RNA sequencing experiments for identifying isoform regulation",7,2010,"2 December 2015 13:56:56"
21079731,"Dimon MT,Sorber K,DeRisi JL.","PLoS One",20," 21079731",HMMSplicer,"HMMSplicer: a tool for efficient and sensitive discovery of known and novel splice junctions in RNA-Seq data.",5,2010,"11 August 2011 23:51:29"
21080965,"Wu Z,Jenkins BD,Rynearson TA,Dyhrman ST,Saito MA,Mercier M,Whitney LP","BMC Bioinformatics",13," 21080965",ASC,"Empirical Bayes Analysis of Sequencing-based Transcriptional Profiling without Replicates",,2010,"24 November 2010 15:50:30"
21081509,"Boeva V,Zinovyev A,Bleakley K,Vert JP,Janoueix-Lerosey I,Delattre O,Barillot E.",Bioinformatics,42," 21081509",FREEC,"Control-free calling of copy number alterations in deep-sequencing data using GC-content normalization",,2010,"29 November 2010 17:02:34"
21081511,"van Heeringen SJ,Veenstra GJ.",Bioinformatics,18," 21081511",GimmeMotifs,"GimmeMotifs: a de novo motif prediction pipeline for ChIP-sequencing experiments.",,2010,"7 December 2010 19:09:55"
21084284,"Meglécz E,Piry S,Desmarais E,Galan M,Gilles A,Guivier E,Pech N,Martin JF.",Bioinformatics,6," 21084284",SESAME,"SESAME (SEquence Sorter & AMplicon Explorer): Genotyping based on high-throughput multiplex amplicon sequencing.",,2010,"7 December 2010 18:53:03"
21085617,"Waszak SM,Hasin Y,Zichner T,Olender T,Keydar I,Khen M,Stütz AM,Schlattl A,Lancet D,Korbel JO","PLoS Computational Biology",27," 21085617",CopySeq,"Systematic inference of copy-number genotypes from personal genome sequencing data reveals extensive olfactory receptor gene content diversity",6,2010,"11 August 2011 23:49:46"
21088025,"Lassmann T,Hayashizaki Y,Daub CO.",Bioinformatics,26," 21088025",SAMStat,"SAMStat: monitoring biases in next generation sequencing data.",,2010,"14 October 2014 22:34:08"
21088026,"Narzisi G,Mishra B.",Bioinformatics,7," 21088026",SUTTA,"Scoring-and-Unfolding Trimmed Tree Assembler: Concepts, Constructs and Comparisons.",,2010,"3 January 2011 04:36:48"
21088030,"Misra S,Agrawal A,Liao WK,Choudhary A.",Bioinformatics,4," 21088030",AGILE,"Anatomy of a Hash-based Long Read Sequence Mapping Algorithm for Next Generation DNA Sequencing.",27,2011,"7 September 2011 08:23:13"
21092284,"Coarfa C,Yu F,Miller CA,Chen Z,Harris RA,Milosavljevic A.","BMC Bioinformatics",16," 21092284",PASH,"Pash 3.0: A versatile software package for read mapping and integrative analysis of genomic and epigenomic variation using massively parallel DNA sequencing.",11,2010,"30 November 2010 16:07:32"
21106091,"Martin J,Bruno VM,Fang Z,Meng X,Blow M,Zhang T,Sherlock G,Snyder M,Wang Z.","BMC Genomics",50," 21106091",Rnnotator,"Rnnotator: an automated de novo transcriptome assembly pipeline from stranded RNA-Seq reads.",11,2010,"30 November 2010 16:11:37"
21109200,"Williams SL,Huang J,Edwards YJ,Ulloa RH,Dillon LM,Prolla TA,Vance JM,Moraes CT,Züchner S.","Cell Metabolism",21," 21109200","CLCbio Genomics Workbench","The mtDNA mutation spectrum of the progeroid Polg mutator mouse includes abundant control region multimers.","Dec 1;12(6)",2010,"27 September 2011 01:41:18"
21114842,"Kelley DR,Schatz MC,Salzberg SL.","Genome Biology",94," 21114842",Quake,"Quake: quality-aware detection and correction of sequencing errors.",11,2010,"7 December 2010 16:38:45"
21115437,"Ilie L,Fazayeli F,Ilie S.",Bioinformatics,23," 21115437",HiTEC,"HiTEC: accurate error correction in high-throughput sequencing data.",,2010,"7 December 2010 16:55:13"
21121040,"Bunge J.","Pac Symp Biocomput.",8," 21121040",CatchAll,"Estimating the number of species with catchall.",,2011,"14 September 2011 08:19:53"
21127032,"GoriGori F,Folino G,Jetten M,Marchiori E.",Bioinformatics,11," 21127032",MTR,"MTR: Taxonomic annotation of short metagenomic reads using clustering at multiple taxonomic ranks.",,2010,"9 August 2011 21:58:27"
21134889,"Habegger L,Sboner A,Gianoulis TA,Rozowsky J,Agarwal A,Snyder M,Gerstein M.",Bioinformatics,31," 21134889",RSEQtools,"RSEQtools: A modular framework to analyze RNA-Seq data using compact, anonymized data summaries","27 (2)",2010,"11 January 2011 16:13:23"
21145465,"Ozsolak F,Kapranov P,Foissac S,Kim SW,Fishilevich E,Monaghan AP,John B,Milos PM.",Cell,109," 21145465",SeqSolve,"Comprehensive polyadenylation site maps in yeast and human reveal pervasive alternative polyadenylation.",43(6),2010,"20 October 2011 15:38:46"
21148542,"Shimizu K,Tsuda K.",Bioinformatics,5," 21148542",SlideSort,"SlideSort: All Pairs Similarity Search for Short Reads.",,2010,"3 January 2011 19:02:00"
21149339,"Garla V,Kong Y,Szpakowski S,Krauthammer M.",Bioinformatics,4," 21149339",MU2A,"MU2A - Reconciling the genome and transcriptome to determine the effects of base substitutions.",,2010,"3 January 2011 19:10:44"
21149342,"Boetzer M,Henkel CV,Jansen HJ,Butler D,Pirovano W.",Bioinformatics,231," 21149342",SSPACE,"Scaffolding pre-assembled contigs using SSPACE.",,2010,"3 January 2011 19:06:28"
21149345,"Nuwantha Ariyaratne P,Sung WK.",Bioinformatics,9," 21149345",PE-Assembler,"PE-Assembler: De novo assembler using short paired-end reads",,2010,"3 January 2011 18:59:26"
21154708,"Jean G,Kahles A,Sreedharan VT,De Bona F,Rätsch G","Curr Protoc Bioinformatics",2," 21154708",PALMapper,"RNA-Seq read alignments 
with PALMapper. Curr Protoc Bioinformatics",11,2010,"18 September 2011 11:17:10"
21169377,"Lou S,Ni B,Lo LY,Kwok-Wing Tsui S,Chan TF,Leung KS.",Bioinformatics,5," 21169377",ABMapper,"ABMapper: a suffix array-based tool for multi-location searching and splice-junction mapping",,2010,"3 January 2011 19:14:48"
21171994,"Buermans HP,Ariyurek Y,van Ommen G,den Dunnen JT,'t Hoen PA.","BMC Genomics",29," 21171994",E-miR,"New methods for next generation sequencing based microRNA expression profiling.",11,2010,"26 January 2011 22:03:18"
21177644,"Fiston-Lavier AS,Carrigan M,Petrov DA,González","Nucleic Acids Research",14," 21177644",T-lex,"T-lex: a program for fast and accurate assessment of transposable element presence using next-generation sequencing data.",,2010,"3 January 2011 04:27:53"
21177645,"Ye T,Krebs AR,Choukrallah MA,Keime C,Plewniak F,Davidson I,Tora L.","Nucleic Acids Research",79," 21177645",SeqMINER,"seqMINER: an integrated ChIP-seq data interpretation platform.",,2010,"3 January 2011 04:29:24"
21187386,"Gnerre S,Maccallum I,Przybylski D,Ribeiro FJ,Burton JN,Walker BJ,Sharpe T,Hall G,Shea TP,Sykes S,Berlin AM,Aird D,Costello M,Daza R,Williams L,Nicol R,Gnirke A,Nusbaum C,Lander ES,Jaffe DB.",PNAS,211," 21187386",ALLPATHS,"High-quality draft assemblies of mammalian genomes from massively parallel sequence data.",,2010,"11 August 2011 23:35:51"
21194472,"Wong K,Keane TM,Stalker J,Adams DJ.","Genome Biology",22," 21194472",SVMerge,"Enhanced structural variant and breakpoint detection using SVMerge by integration of multiple detection methods and local assembly.",11,2010,"20 January 2011 15:28:23"
21209072,"Szymon M. Kiełbasa,Raymond Wan,Kengo Sato,Paul Horton,and Martin C. Frith","Genome Research",68," 21209072",LAST,"Adaptive seeds tame genomic sequence comparison.",21,2011,"23 September 2011 11:47:10"
21210981,"O'Connor BD,Merriman B,Nelson SF.","BMC Bioinformatics",10," 21210981",SeqWare,"SeqWare Query Engine: storing and searching sequence data in the cloud.",,2010,"15 September 2011 13:13:45"
21217122,"Marçais G,Kingsford C.",Bioinformatics,93," 21217122",Jellyfish,"A fast, lock-free approach for efficient parallel counting of occurrences of k-mers.",27,2011,"20 May 2011 03:08:14"
21221095,"Robinson JT,Thorvaldsdóttir H,Winckler W,Guttman M,Lander ES,Getz G,Mesirov JP","Nature Biotechnology",816," 21221095",IGV,"Integrative genomics viewer",29,2011,"6 May 2013 12:15:30"
21232146,"Xu G,Deng N,Zhao Z,Judeh T,Flemington E,Zhu D.","Source Code for Biology and Medicine",20," 21232146",SAMMate,"SAMMate: a GUI tool for processing short read alignments in SAM/BAM format.",6,2011,"25 January 2011 20:21:52"
21233166,"Goncalves A,Tikhonov A,Brazma A,Kapushesky M.",Bioinformatics,24," 21233166",ArrayExpressHTS,"A pipeline for RNA-seq data processing and quality assessment.",27,2011,"20 May 2011 03:33:16"
21233167,"Abyzov A,Gerstein M.",Bioinformatics,23," 21233167",AGE,"AGE: defining breakpoints of genomic structural variants at single-nucleotide resolution, through optimal alignments with gap excision.",,2011,"28 January 2011 20:12:53"
21245053,"Conway TC,Bromage AJ.",Bioinformatics,19," 21245053",SuccinctAssembly,"Succinct Data Structures for Assembling Large Genomes.",,2011,"20 January 2011 15:25:32"
21245054,"Cairns J,Spyrou C,Stark R,Smith ML,Lynch AG,Tavaré S.",Bioinformatics,14," 21245054",BayesPeak,"BayesPeak - An R package for analysing ChIP-seq data.",,2011,"20 January 2011 15:32:10"
21245279,"Hsi-Yang Fritz M,Leinonen R,Cochrane G,Birney E.","Genome Research",51," 21245279",Mzip,"Efficient storage of high throughput sequencing data using reference-based compression.",,2011,"20 January 2011 15:17:28"
21252073,"Deorowicz S,Grabowski S.",Bioinformatics,19," 21252073",DSRC,"Compression of genomic sequences in FASTQ format.",,2011,"28 January 2011 20:09:25"
21253599,"Kofler R,Orozco-Terwengel P,De Maio N,Pandey RV,Nolte V,Futschik A,Kosiol C,Schlötterer C.","PLoS One",60," 21253599",PoPoolation,"PoPoolation: A Toolbox for Population Genetic Analysis of Next Generation Sequencing Data from Pooled Individuals.",6,2011,"4 February 2011 14:41:16"
21261974,"Glez-Pena D,Gomez-Lopez G,Reboiro-Jato M,Fdez-Riverola F,Pisano DG.","BMC Bioinformatics",2," 21261974",PileLine,"PileLine: a toolbox to handle genome position information in next-generation sequencing studies.",12,2011,"9 August 2011 21:32:52"
21264334,"Long Q,Jeffares DC,Zhang Q,Ye K,Nizhynska V,Ning Z,Tyler-Smith C,Nordborg M","PLoS One",5," 21264334",PoolHap,"PoolHap: Inferring Haplotype Frequencies from Pooled Samples by Next Generation Sequencing.",8,2011,"28 January 2011 20:00:18"
21266471,"Wang C,Zhang D.","Nucleic Acids Research",10," 21266471",GRS,"A novel compression tool for efficient storage of genome resequencing data.",,2011,"28 January 2011 20:04:27"
21276213,"Quince C,Lanzen A,Davenport RJ,Turnbaugh PJ.","BMC Bioinformatics",297," 21276213",PyroNoise,"Removing Noise From Pyrosequenced Amplicons.",12,2011,"2 February 2011 14:36:03"
21278185,"Schmieder R and Edwards R",Bioinformatics,177," 21278185",PRINSEQ,"Quality control and preprocessing of metagenomic datasets",27,2011,"20 October 2011 17:09:53"
21278187,"Rödelsperger C,Krawitz P,Bauer S,Hecht J,Bigham AW,Bamshad M,Jonske de Condor B,Schweiger M,Robinson P.",Bioinformatics,15," 21278187",IBD2,"Identity-By-Descent Filtering of Exome Sequence data for Disease-Gene Identification in Autosomal Recessive Disorders.",,2011,"4 February 2011 14:45:59"
21278191,"Edmonson MN,Zhang J,Yan C,Finney RP,Meerzaman D,Buetow KH.",Bioinformatics,15," 21278191",Bambino,"Bambino: a variant detector and alignment viewer for next-generation sequencing data in the SAM/BAM format.",,2011,"3 February 2011 16:03:42"
21278192,"David M,Dzamba M,Lister D,Ilie L,Brudno M.",Bioinformatics,90," 21278192",SHRiMP,"SHRiMP2: Sensitive yet Practical Short Read Mapping.",,2011,"3 February 2011 15:57:51"
21278367,,Bioinformatics,72," 21278367",Easyfig,"Easyfig: a genome comparison visualizer.",,2011,"12 September 2014 00:30:10"
21281468,"Humburg P,Helliwell CA,Bulger D,Stone G.","BMC Bioinformatics",2," 21281468",ChIPseqR,"ChIPseqR: Analysis of ChIP-seq Experiments.",12,2011,"3 February 2011 15:47:41"
21305015,"Battke F,Nieselt K.","PLoS One",6," 21305015",MAYDAY,"Mayday SeaSight: Combined Analysis of Deep Sequencing and Microarray Data.",6,2011,"16 February 2011 13:44:47"
21305028,"Miller CA,Hampton O,Coarfa C,Milosavljevic A.","PLoS One",41," 21305028",ReadDepth,"ReadDepth: A Parallel R Package for Detecting Copy Number Alterations from Short Sequencing Reads.",6,2011,"15 February 2011 14:46:15"
21305042,"Krueger F,Andrews SR,Osborne CS","PLoS One",15," 21305042",SeqMonk,"Large scale loss of data in low-diversity illumina sequencing libraries can be recovered by deferred cluster calling.",6,2011,"29 August 2011 07:26:32"
21310039,"Turro E,Su SY,Gonçalves A,Coin LJ,Richardson S,Lewin A.","Genome Biology",39," 21310039",MMSEQ,"Haplotype and isoform specific expression estimation using multi-mapping RNA-seq reads.",12,2011,"20 May 2011 03:02:27"
21320865,"Li H",Bioinformatics,43," 21320865",SAMtools,"Improving SNP discovery by base alignment quality.",27,2011,"20 May 2011 02:53:22"
21321017,"Magi A,Benelli M,Yoon S,Roviello F,Torricelli F.","Nucleic Acids Research",15," 21321017",JointSLM,"Detecting common copy number variants in high-throughput sequencing data by using JointSLM algorithm.",,2011,"16 February 2011 13:52:20"
21324876,"Abyzov A,Urban AE,Snyder M,Gerstein M.","Genome Research",120," 21324876",CNVnator,"CNVnator: An approach to discover, genotype, and characterize typical and atypical CNVs from family and population genome sequencing",,2011,"20 May 2011 03:05:14"
21324880,"Feber A,Wilson GA,Zhang L,Presneau N,Idowu B,Down TA,Rakyan VK,Noon LA,Lloyd AC,Stupka E,Schiza V,Teschendorff AE,Schroth GP,Flanagan A,Beck S.","Genome Research",36," 21324880",SeqMonk,"Comparative methylome analysis of benign and malignant peripheral nerve sheath tumors.",21,2011,"29 August 2011 09:29:37"
21330287,"Malde K",Bioinformatics,1," 21330287",Flower,"Flower: extracting information from pyrosequencing data",27,2011,"20 May 2011 02:59:03"
21330288,"Kinsella M,Harismendy O,Nakano M,Frazer KA,Bafna V.",Bioinformatics,23," 21330288",ShortFuse,"Sensitive gene fusion detection using ambiguously mapping RNA-Seq read pairs",27,2011,"20 May 2011 02:57:29"
21349869,"Klein HU,Bartenhagen C,Kohlmann A,Grossmann V,Ruckert C,Haferlach T,Dugas M.",Bioinformatics,11," 21349869",R453Plus1Toolbox,"R453Plus1Toolbox: an R/Bioconductor package for analyzing Roche 454 Sequencing data",27,2011,"20 May 2011 03:29:25"
21398674,"Hummel M,Bonnin S,Lowy E,Roma G.",Bioinformatics,4," 21398674",TEQC,"TEQC: an R package for quality control in target capture experiments.",27,2011,"20 May 2011 03:26:18"
21408061,"Schmieder R and Edwards R","PLoS One",53," 21408061",DeconSeq,"Fast identification and removal of sequence contamination from genomic and metagenomic datasets",,2011,"20 October 2011 17:32:55"
21447171,"Liu Y,Schmidt B,Maskell DL.","BMC Bioinformatics",5," 21447171",DecGPU,"DecGPU: distributed error correction on massively parallel graphics processing units using CUDA and MPI.",,2011,"23 September 2011 15:15:32"
21471014,"Salmela L,Schröder J.",Bioinformatics,22," 21471014",Coral,"Correcting Errors in Short Reads by Multiple Alignments.",,2011,"20 May 2011 03:22:55"
21482625,"Kao WC,Chan AH,Song YS.","Genome Research",21," 21482625",ECHO,"ECHO: A reference-free short-read error correction algorithm.",,2011,"20 May 2011 03:17:17"
